经度        纬度         深度       速度
  113.760   39.960    0.000    0.999
  113.760   39.950    0.000    1.016
  113.760   39.940    0.000    1.034
  113.760   39.930    0.000    1.010
  113.760   39.920    0.000    1.001
  113.760   39.910    0.000    0.998
  113.760   39.900    0.000    0.997
  113.760   39.890    0.000    0.998
  113.760   39.880    0.000    0.999
  113.760   39.870    0.000    1.000
  113.780   40.200    0.000    1.000
  113.780   40.190    0.000    1.000
  113.780   40.180    0.000    1.000
  113.780   40.170    0.000    1.000
  113.780   40.160    0.000    1.000
  113.780   40.150    0.000    0.999
  113.780   40.140    0.000    0.998
  113.780   40.130    0.000    0.998
  113.780   40.120    0.000    1.000
  113.780   40.110    0.000    1.004
  113.780   40.100    0.000    1.016
  113.780   40.090    0.000    1.047
  113.780   40.080    0.000    1.125
  113.780   40.070    0.000    1.396
  113.780   40.060    0.000    1.760
  113.780   40.050    0.000    1.986
  113.780   40.040    0.000    1.855
  113.780   40.030    0.000    1.379
  113.780   40.020    0.000    1.309
  113.780   40.010    0.000    1.503
  113.780   40.000    0.000    1.128
  113.780   39.990    0.000    0.500
  113.780   39.980    0.000    1.129
  113.780   39.970    0.000    1.161
  113.780   39.960    0.000    1.050
  113.780   39.950    0.000    1.333
  113.780   39.940    0.000    1.234
  113.780   39.930    0.000    1.041
  113.780   39.920    0.000    1.005
  113.780   39.910    0.000    0.999
  113.780   39.900    0.000    0.997
  113.780   39.890    0.000    0.998
  113.780   39.880    0.000    0.999
  113.780   39.870    0.000    1.000
  113.800   40.200    0.000    1.000
  113.800   40.190    0.000    1.000
  113.800   40.180    0.000    1.000
  113.800   40.170    0.000    1.000
  113.800   40.160    0.000    1.000
  113.800   40.150    0.000    1.000
  113.800   40.140    0.000    0.999
  113.800   40.130    0.000    0.999
  113.800   40.120    0.000    1.000
  113.800   40.110    0.000    1.003
  113.800   40.100    0.000    1.008
  113.800   40.090    0.000    1.017
  113.800   40.080    0.000    1.034
  113.800   40.070    0.000    1.065
  113.800   40.060    0.000    0.901
  113.800   40.050    0.000    0.500
  113.800   40.040    0.000    1.456
  113.800   40.030    0.000    1.916
  113.800   40.020    0.000    1.087
  113.800   40.010    0.000    0.894
  113.800   40.000    0.000    1.558
  113.800   39.990    0.000    1.559
  113.800   39.980    0.000    1.508
  113.800   39.970    0.000    1.008
  113.800   39.960    0.000    0.500
  113.800   39.950    0.000    0.733
  113.800   39.940    0.000    1.238
  113.800   39.930    0.000    1.159
  113.800   39.920    0.000    1.011
  113.800   39.910    0.000    1.000
  113.800   39.900    0.000    0.998
  113.800   39.890    0.000    0.998
  113.800   39.880    0.000    0.998
  113.800   39.870    0.000    1.000
  113.820   40.200    0.000    1.000
  113.820   40.190    0.000    1.000
  113.820   40.180    0.000    1.000
  113.820   40.170    0.000    1.000
  113.820   40.160    0.000    1.000
  113.820   40.150    0.000    1.000
  113.820   40.140    0.000    0.999
  113.820   40.130    0.000    1.000
  113.820   40.120    0.000    1.000
  113.820   40.110    0.000    1.001
  113.820   40.100    0.000    1.003
  113.820   40.090    0.000    1.005
  113.820   40.080    0.000    1.004
  113.820   40.070    0.000    0.986
  113.820   40.060    0.000    0.884
  113.820   40.050    0.000    0.500
  113.820   40.040    0.000    0.979
  113.820   40.030    0.000    1.923
